docman_category_id,uuid,title,slug,description,image,params,access,access_raw,enabled,locked_on,locked_by,created_on,created_by,modified_on,modified_by,asset_id
1,ce996e10-016a-40bd-81e2-5dd5a770ff75,Press Releases ( Press Releases ),press-releases-press-releases,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2014-08-15 07:04:39,10,0000-00-00 00:00:00,0,901
2,ac2e5a44-e18d-4eac-8bd6-74685024e665,CCWRO Legislative & Policy Analysis,ccwro-charts-and-graphs-ccwro-reports-chart-and-graphs,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2014-08-15 07:05:03,10,2018-12-20 13:36:56,2023,902
3,6e5451d7-f06e-41c4-9cc0-c7aa352d716d,Dept. of Health Care Services ( Dept. of Health Care Services ),dept-of-health-care-services-dept-of-health-care-services,,,"{""icon"":""folder""}",1,0,1,2016-03-24 01:50:33,2023,2014-08-15 07:05:24,10,0000-00-00 00:00:00,0,903
4,0c32bf81-88ee-44b4-9f0d-2430fc573271,CCWRO Financial Statements,ccwro-financial-statements,,,"{""icon"":""folder""}",2,2,1,0000-00-00 00:00:00,0,2014-08-15 07:06:45,10,2014-08-15 07:07:44,10,904
5,1873cd18-48f3-4c95-96f6-95a6f3de44f5,CCWRO Contract and Leases ( CCWRO Contract and Leases ),ccwro-contract-and-leases-ccwro-contract-and-leases,,,"{""icon"":""folder""}",2,2,1,0000-00-00 00:00:00,0,2014-08-15 07:08:12,10,0000-00-00 00:00:00,0,905
6,7851c144-0dd5-46e4-a2cf-7c3e21e52147,board resources ( board resources ),board-resources-board-resources,,,"{""icon"":""folder""}",2,2,1,0000-00-00 00:00:00,0,2014-08-15 12:29:41,10,2014-08-22 07:47:34,10,906
7,d152eb4b-1a2b-45b8-a27a-11ad9495956a,CCWRO Board Policies ( CCWRO Board Policies ),ccwro-board-policies-ccwro-board-policies,,,"{""icon"":""folder""}",2,2,1,0000-00-00 00:00:00,0,2014-08-15 12:32:05,10,0000-00-00 00:00:00,0,907
8,2195c88e-5da7-436d-86b5-3b05ee78c7e3,CCWRO By-Laws ( CCWRO By-Laws and More ),ccwro-by-laws-ccwro-by-laws-and-more,,,"{""icon"":""folder""}",2,2,1,0000-00-00 00:00:00,0,2014-08-15 12:33:15,10,0000-00-00 00:00:00,0,908
9,dcc1e2cc-7559-4e62-a81b-5d731e322b2c,Board Meeting Agendas ( Board Meeting Agendas ),board-meeting-agendas-board-meeting-agendas,,,"{""icon"":""folder""}",2,2,1,0000-00-00 00:00:00,0,2014-08-15 12:33:46,10,0000-00-00 00:00:00,0,909
10,d7d00506-5dd3-4820-8acd-fb9957f90876,Old Board Meeting Minutes ( Old Board Meeting Minutes ),old-board-meeting-minutes-old-board-meeting-minutes,,,"{""icon"":""folder""}",2,2,1,0000-00-00 00:00:00,0,2014-08-15 12:34:18,10,0000-00-00 00:00:00,0,910
11,a52a2abb-7c9b-4796-a614-390bc0b1b443,DSS King Ball Penalty Reports ( DSS King Ball Penalty Reports ),dss-king-ball-penalty-reports-dss-king-ball-penalty-reports,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2014-08-15 12:34:51,10,0000-00-00 00:00:00,0,911
12,ce2ec9b6-90af-4f2a-80f3-61fb8d1abd2e,CCWRO Powerpoint Training ( CCWRO Powerpoint Training ),ccwro-powerpoint-training-ccwro-powerpoint-training,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2014-08-15 12:35:26,10,0000-00-00 00:00:00,0,912
13,1024af98-5af8-4666-9afb-33bf6dfd1a74,SSA Regional and Local Offices ( SSA Regional and Local Offices ),ssa-regional-and-local-offices-ssa-regional-and-local-offices,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2014-08-15 12:35:50,10,0000-00-00 00:00:00,0,913
14,73031e88-90b0-427d-bc9c-e5cb9cde0cea,LAO Reports ( LAO Reports ),lao-reports-lao-reports,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2014-08-15 12:36:15,10,0000-00-00 00:00:00,0,914
